region,abbrevs,names,BOM-BARPA-R-ACCESS-CM2-r4i1p1f1,BOM-BARPA-R-CESM2-r11i1p1f1,BOM-BARPA-R-CMCC-ESM2-r1i1p1f1,BOM-BARPA-R-EC-Earth3-r1i1p1f1,BOM-BARPA-R-MPI-ESM1-2-HR-r1i1p1f1,BOM-BARPA-R-NorESM2-MM-r1i1p1f1,CSIRO-CCAM-v2203-SN-ACCESS-CM2-r4i1p1f1,CSIRO-CCAM-v2203-SN-ACCESS-ESM1-5-r6i1p1f1,CSIRO-CCAM-v2203-SN-CESM2-r11i1p1f1,CSIRO-CCAM-v2203-SN-CMCC-ESM2-r1i1p1f1,CSIRO-CCAM-v2203-SN-CNRM-ESM2-1-r1i1p1f2,CSIRO-CCAM-v2203-SN-EC-Earth3-r1i1p1f1,ensemble_p10,ensemble_p50,ensemble_p90
0,WANorth,Western Australia North,0.81,-0.53,2.07,-0.55,1.33,2.55,0.61,2.11,-0.51,3.32,-1.35,-0.54,-0.549,0.71,2.506
1,WASouth,Western Australia South,0.7,-0.25,1.83,-0.66,0.55,1.84,0.83,1.33,-0.17,2.8,-1.04,0.16,-0.619,0.625,1.8390000000000002
2,NSW,New South Wales and Australian Capital Territory,-0.17,-0.21,1.09,-0.33,3.05,1.42,-0.1,1.89,-0.08,1.71,0.2,0.27,-0.206,0.23500000000000001,1.8719999999999999
3,VIC,Victoria,0.17,0.28,0.53,-0.34,1.55,0.97,-0.15,0.86,0.08,0.66,0.49,-0.06,-0.141,0.385,0.959
4,SA,South Australia,0.2,0.19,1.91,-0.54,2.25,1.65,0.45,2.09,0.02,3.39,-0.09,0.07,-0.07899999999999999,0.325,2.234
5,TAS,Tasmania,0.1,0.1,0.05,-0.02,0.13,0.19,0.04,0.15,0.03,-0.01,0.13,0.04,-0.005999999999999997,0.07500000000000001,0.148
6,NT,Northern Territory,0.28,-0.5,1.85,-0.65,2.24,2.0,0.47,2.44,-0.52,2.8,-0.68,-0.18,-0.637,0.375,2.42
7,QLDNorth,Queensland North,0.1,0.27,1.14,-0.49,1.98,1.42,-0.04,1.72,-0.03,1.58,0.24,0.05,-0.039,0.255,1.706
8,QLDSouth,Queensland South,-0.03,0.13,1.62,-0.32,2.7,1.74,-0.0,3.02,0.06,2.43,0.05,-0.14,-0.129,0.095,2.6730000000000005
9,AUS,Australia,0.31,-0.15,1.65,-0.52,1.87,1.8,0.36,2.01,-0.19,2.58,-0.45,-0.05,-0.424,0.33499999999999996,1.9959999999999998
