model,region,abbrevs,names,AI_mean,AI_min,AI_max
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,0,WANorth,Western Australia North,-0.01928953927674563,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,1,WASouth,Western Australia South,-0.05918441332131691,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,2,NSW,New South Wales and Australian Capital Territory,0.008281772614969905,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,3,VIC,Victoria,-0.10671221424073657,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,4,SA,South Australia,0.009544899779375712,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,5,TAS,Tasmania,-0.012772242008154104,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,6,NT,Northern Territory,0.010876509672091784,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,7,QLDNorth,Queensland North,-0.020939990241688904,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,8,QLDSouth,Queensland South,0.019573181741008548,-1.0,1.0
ACCESS1-0_CSIRO-CCAM-r3355-r240x120-ISIMIP2b,9,AUS,Australia,-0.012907312636323592,-1.0,1.0
ACCESS1-0__r240x120-ISIMIP2b,0,WANorth,Western Australia North,0.1271668269537317,-1.0,1.0
ACCESS1-0__r240x120-ISIMIP2b,1,WASouth,Western Australia South,-0.0039677515718583075,-1.0,1.0
ACCESS1-0__r240x120-ISIMIP2b,2,NSW,New South Wales and Australian Capital Territory,0.07194057261434805,-1.0,1.0
ACCESS1-0__r240x120-ISIMIP2b,3,VIC,Victoria,-0.11194970033219122,-1.0,1.0
ACCESS1-0__r240x120-ISIMIP2b,4,SA,South Australia,-0.03359139689325002,-1.0,1.0
ACCESS1-0__r240x120-ISIMIP2b,5,TAS,Tasmania,0.000640082296066227,-1.0,1.0
ACCESS1-0__r240x120-ISIMIP2b,6,NT,Northern Territory,0.12461991026956187,-1.0,2.0
ACCESS1-0__r240x120-ISIMIP2b,7,QLDNorth,Queensland North,0.14081429539642668,-1.0,2.0
ACCESS1-0__r240x120-ISIMIP2b,8,QLDSouth,Queensland South,0.08905951426510349,-1.0,1.0
ACCESS1-0__r240x120-ISIMIP2b,9,AUS,Australia,0.06389465179688383,-1.0,2.0
ACCESS1-0_r240x120-MRNBC,0,WANorth,Western Australia North,0.22578471799557037,0.0,1.0
ACCESS1-0_r240x120-MRNBC,1,WASouth,Western Australia South,0.01621598822879244,-1.0,1.0
ACCESS1-0_r240x120-MRNBC,2,NSW,New South Wales and Australian Capital Territory,0.09582152507791802,-1.0,1.0
ACCESS1-0_r240x120-MRNBC,3,VIC,Victoria,-0.09622604243225422,-1.0,1.0
ACCESS1-0_r240x120-MRNBC,4,SA,South Australia,-0.030397115918092493,-1.0,1.0
ACCESS1-0_r240x120-MRNBC,5,TAS,Tasmania,-0.009599222991645152,-2.0,1.0
ACCESS1-0_r240x120-MRNBC,6,NT,Northern Territory,0.13598060672241077,-1.0,2.0
ACCESS1-0_r240x120-MRNBC,7,QLDNorth,Queensland North,0.1465266943485065,-1.0,1.0
ACCESS1-0_r240x120-MRNBC,8,QLDSouth,Queensland South,0.08619186773510101,-1.0,1.0
ACCESS1-0_r240x120-MRNBC,9,AUS,Australia,0.08685553027105698,-2.0,2.0
ACCESS1-0_r240x120-QME,0,WANorth,Western Australia North,0.17061774513281264,-1.0,1.0
ACCESS1-0_r240x120-QME,1,WASouth,Western Australia South,0.011949142410744868,-1.0,1.0
ACCESS1-0_r240x120-QME,2,NSW,New South Wales and Australian Capital Territory,0.09973645818975234,0.0,1.0
ACCESS1-0_r240x120-QME,3,VIC,Victoria,-0.07385078474247017,-1.0,1.0
