region,ID,name,BOM-BARPA-R-ACCESS-CM2-r4i1p1f1,BOM-BARPA-R-ACCESS-ESM1-5-r6i1p1f1,BOM-BARPA-R-CESM2-r11i1p1f1,BOM-BARPA-R-CMCC-ESM2-r1i1p1f1,BOM-BARPA-R-EC-Earth3-r1i1p1f1,BOM-BARPA-R-MPI-ESM1-2-HR-r1i1p1f1,BOM-BARPA-R-NorESM2-MM-r1i1p1f1,CSIRO-CCAM-v2203-SN-ACCESS-CM2-r4i1p1f1,CSIRO-CCAM-v2203-SN-ACCESS-ESM1-5-r6i1p1f1,CSIRO-CCAM-v2203-SN-CESM2-r11i1p1f1,CSIRO-CCAM-v2203-SN-CMCC-ESM2-r1i1p1f1,CSIRO-CCAM-v2203-SN-CNRM-ESM2-1-r1i1p1f2,CSIRO-CCAM-v2203-SN-EC-Earth3-r1i1p1f1,ensemble_median
113,61116964,SALT LAKE,2.78,2.29,2.83,2.02,2.2,2.84,3.09,2.55,2.6,2.96,1.8,2.32,1.86,2.55
112,61116963,NULLARBOR,2.9,2.28,2.72,1.98,2.13,2.96,3.07,2.5,2.38,2.87,1.9,2.73,2.13,2.5
131,80908403,GASCOYNE RIVER,2.55,1.86,3.13,1.93,2.22,2.67,2.8,2.54,2.5,3.14,1.8,2.21,1.86,2.5
111,61116962,GAIRDNER,2.47,2.22,3.02,2.09,2.03,2.65,2.74,2.18,2.67,2.84,2.04,3.06,2.13,2.47
119,70411056,MOORE-HILL RIVERS,2.65,2.49,2.96,2.05,2.04,2.71,2.8,2.47,2.25,2.76,1.45,2.09,1.58,2.47
133,80908405,ASHBURTON RIVER,2.5,1.82,3.02,2.3,2.32,2.59,2.74,2.46,2.47,3.25,2.11,2.29,1.71,2.46
68,26960635,MANNING RIVER,2.8,3.23,3.49,2.38,1.68,2.48,2.47,0.99,3.39,2.32,1.33,2.45,0.44,2.45
66,26960633,MACLEAY RIVER,2.54,3.18,3.56,2.55,1.65,2.61,2.28,1.53,3.45,2.45,1.55,2.07,0.68,2.45
74,29049286,SHOALHAVEN RIVER,2.44,3.36,3.18,2.51,1.21,2.97,2.61,0.96,2.31,2.52,2.11,1.64,0.7,2.44
137,90874765,DE GREY RIVER,2.55,2.2,2.94,2.08,2.43,2.47,2.87,2.43,2.85,3.08,2.37,2.24,1.87,2.43
134,80908406,ONSLOW COAST,2.87,1.63,2.8,2.21,2.43,2.79,2.43,2.83,2.44,3.21,2.11,2.38,1.57,2.43
129,80908401,MURCHISON RIVER,2.59,2.27,3.23,1.97,2.05,2.98,2.98,2.42,2.44,3.18,1.71,2.21,1.77,2.42
141,102206379,VICTORIA RIVER-WISO,2.67,2.59,2.81,1.96,2.1,2.42,2.87,2.29,3.15,2.92,1.82,1.93,1.41,2.42
47,21551931,SNOWY RIVER,2.64,3.0,3.44,2.75,1.31,3.16,3.13,1.66,2.4,2.13,1.97,2.04,0.3,2.4
67,26960634,HASTINGS RIVER,2.55,3.26,3.8,2.93,2.08,2.4,1.94,0.9,2.88,2.5,1.55,2.35,0.05,2.4
130,80908402,WOORAMEL RIVER,2.65,2.07,2.92,1.69,2.06,2.6,2.95,2.71,2.39,2.99,1.43,2.29,1.83,2.39
135,80908407,FORTESCUE RIVER,2.42,2.13,3.04,2.2,2.36,2.73,2.78,2.39,2.89,3.18,2.3,2.28,1.65,2.39
64,26960631,CLARENCE RIVER,2.15,3.18,3.84,2.47,1.5,2.56,2.38,1.15,3.48,2.61,1.47,1.61,0.86,2.38
71,29049283,HAWKESBURY RIVER,2.78,3.7,3.19,2.35,1.37,2.76,2.37,0.57,2.97,2.59,2.14,1.85,0.6,2.37
132,80908404,YANNARIE RIVER,2.5,1.64,2.79,1.79,2.37,2.52,2.07,2.84,2.53,2.95,1.77,2.1,1.74,2.37
99,49999998,DARLING RIVER,2.36,2.37,2.95,2.15,1.43,2.51,2.44,1.78,2.43,2.57,1.76,2.14,1.37,2.36
139,102206377,CAPE LEVEQUE COAST,2.18,2.44,2.56,1.75,1.84,2.25,2.36,2.49,2.55,2.86,2.64,1.93,2.0,2.36
165,119368618,LAKE EYRE,2.48,2.06,3.08,2.04,1.89,2.37,2.48,2.12,2.32,2.73,2.14,2.72,2.35,2.35
115,70411052,BUSSELTON COAST,2.76,2.09,2.45,1.58,2.29,2.79,2.55,2.78,2.35,2.35,1.52,1.4,1.46,2.35
138,90874766,SANDY DESERT,2.6,2.29,2.7,2.05,2.26,2.3,2.64,2.46,2.69,2.99,2.34,1.85,1.44,2.34
136,80908408,PORT HEDLAND COAST,2.48,2.07,2.99,2.13,2.34,2.78,2.56,2.21,2.76,3.33,2.0,2.32,1.69,2.34
