region,clim_period,abbrevs,names,fire_climate_class_mean,fire_climate_class_min,fire_climate_class_max,fire_climate_class_mode,fire_climate_class_proportions
0,GWL1.2,WANorth,Western Australia North,100.96926412803184,100.0,102.0,101.0,"{101.0: 0.9698, 100.0: 0.0301, 102.0: 0.0}"
1,GWL1.2,WASouth,Western Australia South,101.35096746375889,101.0,104.0,101.0,"{101.0: 0.8687, 104.0: 0.1047, 103.0: 0.0266}"
2,GWL1.2,NSW,New South Wales and Australian Capital Territory,102.00643435266733,101.0,104.0,101.0,"{101.0: 0.5439, 104.0: 0.2625, 102.0: 0.1568, 103.0: 0.0368}"
3,GWL1.2,VIC,Victoria,102.84413023686672,101.0,104.0,102.0,"{102.0: 0.4533, 104.0: 0.4167, 103.0: 0.0678, 101.0: 0.0622}"
4,GWL1.2,SA,South Australia,101.32751043654588,101.0,104.0,101.0,"{101.0: 0.8723, 104.0: 0.0898, 103.0: 0.0378, 102.0: 0.0001}"
5,GWL1.2,TAS,Tasmania,102.07149108578272,102.0,104.0,102.0,"{102.0: 0.9364, 103.0: 0.0557, 104.0: 0.0079}"
6,GWL1.2,NT,Northern Territory,100.88096291337493,100.0,101.0,101.0,"{101.0: 0.8842, 100.0: 0.1158}"
7,GWL1.2,QLDNorth,Queensland North,100.91793602099885,100.0,104.0,101.0,"{101.0: 0.7264, 100.0: 0.2153, 104.0: 0.0422, 102.0: 0.0161}"
8,GWL1.2,QLDSouth,Queensland South,101.17212105197841,100.0,104.0,101.0,"{101.0: 0.9282, 104.0: 0.0501, 102.0: 0.0152, 103.0: 0.0058, 100.0: 0.0007}"
9,GWL1.2,AUS,Australia,101.26572742475246,100.0,104.0,101.0,"{101.0: 0.8066, 104.0: 0.0854, 102.0: 0.0458, 100.0: 0.0444, 103.0: 0.0178}"
