,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,0.19,0.23,0.27
1,GWL12,WASouth,Western Australia South,0.13,0.17,0.21
2,GWL12,NSW,New South Wales and Australian Capital Territory,0.29,0.32,0.34
3,GWL12,VIC,Victoria,0.43,0.47,0.49
4,GWL12,SA,South Australia,0.11,0.13,0.15
5,GWL12,TAS,Tasmania,1.13,1.25,1.39
6,GWL12,NT,Northern Territory,0.22,0.27,0.32
7,GWL12,QLDNorth,Queensland North,0.31,0.37,0.42
8,GWL12,QLDSouth,Queensland South,0.18,0.21,0.24
9,GWL12,AUS,Australia,0.22,0.25,0.29
10,GWL15,WANorth,Western Australia North,0.19,0.24,0.27
11,GWL15,WASouth,Western Australia South,0.12,0.17,0.2
12,GWL15,NSW,New South Wales and Australian Capital Territory,0.29,0.32,0.34
13,GWL15,VIC,Victoria,0.41,0.45,0.49
14,GWL15,SA,South Australia,0.1,0.13,0.15
15,GWL15,TAS,Tasmania,1.14,1.27,1.34
16,GWL15,NT,Northern Territory,0.21,0.27,0.3
17,GWL15,QLDNorth,Queensland North,0.3,0.36,0.42
18,GWL15,QLDSouth,Queensland South,0.18,0.21,0.24
19,GWL15,AUS,Australia,0.22,0.26,0.28
20,GWL20,WANorth,Western Australia North,0.14,0.24,0.27
21,GWL20,WASouth,Western Australia South,0.1,0.16,0.18
22,GWL20,NSW,New South Wales and Australian Capital Territory,0.25,0.32,0.35
23,GWL20,VIC,Victoria,0.38,0.44,0.49
24,GWL20,SA,South Australia,0.08,0.13,0.15
25,GWL20,TAS,Tasmania,1.09,1.25,1.36
26,GWL20,NT,Northern Territory,0.19,0.28,0.3
27,GWL20,QLDNorth,Queensland North,0.27,0.37,0.4
28,GWL20,QLDSouth,Queensland South,0.15,0.21,0.23
29,GWL20,AUS,Australia,0.19,0.25,0.27
30,GWL30,WANorth,Western Australia North,0.14,0.22,0.29
31,GWL30,WASouth,Western Australia South,0.09,0.15,0.19
32,GWL30,NSW,New South Wales and Australian Capital Territory,0.22,0.32,0.36
33,GWL30,VIC,Victoria,0.33,0.45,0.49
34,GWL30,SA,South Australia,0.07,0.13,0.18
35,GWL30,TAS,Tasmania,1.01,1.16,1.31
36,GWL30,NT,Northern Territory,0.19,0.25,0.32
37,GWL30,QLDNorth,Queensland North,0.27,0.36,0.41
38,GWL30,QLDSouth,Queensland South,0.13,0.2,0.25
39,GWL30,AUS,Australia,0.19,0.25,0.28
