,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,-28.1,-3.2,29.1
1,GWL15-GWL12,WASouth,Western Australia South,-45.7,-7.4,39.1
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,-13.5,2.1,21.5
3,GWL15-GWL12,VIC,Victoria,-15.7,-0.9,12.3
4,GWL15-GWL12,SA,South Australia,-34.7,-1.9,34.6
5,GWL15-GWL12,TAS,Tasmania,-13.9,-0.0,13.4
6,GWL15-GWL12,NT,Northern Territory,-29.1,-6.0,29.4
7,GWL15-GWL12,QLDNorth,Queensland North,-24.0,3.3,33.7
8,GWL15-GWL12,QLDSouth,Queensland South,-20.4,-1.1,27.2
9,GWL15-GWL12,AUS,Australia,-25.6,-2.4,27.0
10,GWL20-GWL12,WANorth,Western Australia North,-47.3,2.0,28.4
11,GWL20-GWL12,WASouth,Western Australia South,-40.2,-10.2,21.3
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,-20.0,-4.1,21.0
13,GWL20-GWL12,VIC,Victoria,-21.0,-4.5,13.4
14,GWL20-GWL12,SA,South Australia,-49.2,-5.1,39.0
15,GWL20-GWL12,TAS,Tasmania,-14.5,-1.6,11.8
16,GWL20-GWL12,NT,Northern Territory,-40.8,-0.1,36.7
17,GWL20-GWL12,QLDNorth,Queensland North,-35.6,-0.6,32.6
18,GWL20-GWL12,QLDSouth,Queensland South,-33.9,-7.0,34.2
19,GWL20-GWL12,AUS,Australia,-37.6,-4.3,27.8
20,GWL30-GWL12,WANorth,Western Australia North,-43.8,-15.9,39.8
21,GWL30-GWL12,WASouth,Western Australia South,-44.7,-23.1,57.6
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,-38.8,4.4,17.0
23,GWL30-GWL12,VIC,Victoria,-35.8,-3.0,7.6
24,GWL30-GWL12,SA,South Australia,-53.5,-4.1,28.9
25,GWL30-GWL12,TAS,Tasmania,-22.8,-6.3,6.4
26,GWL30-GWL12,NT,Northern Territory,-37.7,-8.7,42.9
27,GWL30-GWL12,QLDNorth,Queensland North,-25.5,-7.0,30.0
28,GWL30-GWL12,QLDSouth,Queensland South,-42.1,-1.1,24.1
29,GWL30-GWL12,AUS,Australia,-38.3,-6.8,30.7
