,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,44.5,45.0,45.5
1,GWL12,WASouth,Western Australia South,44.2,44.8,45.3
2,GWL12,NSW,New South Wales and Australian Capital Territory,41.3,42.1,42.5
3,GWL12,VIC,Victoria,38.9,40.4,40.9
4,GWL12,SA,South Australia,44.5,45.2,45.8
5,GWL12,TAS,Tasmania,30.3,31.3,31.8
6,GWL12,NT,Northern Territory,43.2,43.5,44.0
7,GWL12,QLDNorth,Queensland North,40.5,40.9,41.3
8,GWL12,QLDSouth,Queensland South,42.6,43.3,43.8
9,GWL12,AUS,Australia,43.1,43.5,44.0
10,GWL15,WANorth,Western Australia North,45.0,45.3,46.1
11,GWL15,WASouth,Western Australia South,44.6,45.3,46.0
12,GWL15,NSW,New South Wales and Australian Capital Territory,41.1,42.5,43.1
13,GWL15,VIC,Victoria,38.7,41.0,41.5
14,GWL15,SA,South Australia,45.1,45.7,46.4
15,GWL15,TAS,Tasmania,30.0,31.8,32.6
16,GWL15,NT,Northern Territory,43.5,43.8,44.5
17,GWL15,QLDNorth,Queensland North,40.7,41.3,41.7
18,GWL15,QLDSouth,Queensland South,43.1,43.8,44.5
19,GWL15,AUS,Australia,43.5,43.9,44.5
20,GWL20,WANorth,Western Australia North,45.7,46.1,46.7
21,GWL20,WASouth,Western Australia South,45.3,46.1,46.6
22,GWL20,NSW,New South Wales and Australian Capital Territory,41.5,43.0,43.7
23,GWL20,VIC,Victoria,39.4,41.6,42.5
24,GWL20,SA,South Australia,45.8,46.3,46.9
25,GWL20,TAS,Tasmania,31.2,32.4,33.1
26,GWL20,NT,Northern Territory,44.1,44.4,45.2
27,GWL20,QLDNorth,Queensland North,41.4,41.7,42.6
28,GWL20,QLDSouth,Queensland South,43.8,44.6,45.4
29,GWL20,AUS,Australia,44.1,44.6,45.2
30,GWL30,WANorth,Western Australia North,46.3,47.2,48.2
31,GWL30,WASouth,Western Australia South,46.0,47.3,48.3
32,GWL30,NSW,New South Wales and Australian Capital Territory,42.9,44.1,45.3
33,GWL30,VIC,Victoria,40.7,42.5,43.9
34,GWL30,SA,South Australia,46.5,47.7,48.6
35,GWL30,TAS,Tasmania,31.8,33.3,34.4
36,GWL30,NT,Northern Territory,44.8,45.7,46.7
37,GWL30,QLDNorth,Queensland North,42.2,42.6,43.9
38,GWL30,QLDSouth,Queensland South,44.4,45.6,46.9
39,GWL30,AUS,Australia,44.8,45.7,46.8
