,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,0.0,0.5,0.7
1,GWL15-GWL12,WASouth,Western Australia South,0.2,0.5,0.8
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,-0.2,0.4,0.9
3,GWL15-GWL12,VIC,Victoria,-0.2,0.5,0.9
4,GWL15-GWL12,SA,South Australia,0.1,0.5,0.8
5,GWL15-GWL12,TAS,Tasmania,-0.5,0.5,0.9
6,GWL15-GWL12,NT,Northern Territory,0.2,0.4,0.7
7,GWL15-GWL12,QLDNorth,Queensland North,0.2,0.4,0.6
8,GWL15-GWL12,QLDSouth,Queensland South,0.0,0.4,0.7
9,GWL15-GWL12,AUS,Australia,0.2,0.4,0.7
10,GWL20-GWL12,WANorth,Western Australia North,0.8,1.1,1.5
11,GWL20-GWL12,WASouth,Western Australia South,0.9,1.2,1.6
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,0.1,1.1,1.4
13,GWL20-GWL12,VIC,Victoria,0.5,1.2,2.4
14,GWL20-GWL12,SA,South Australia,0.9,1.2,1.5
15,GWL20-GWL12,TAS,Tasmania,0.4,1.1,2.0
16,GWL20-GWL12,NT,Northern Territory,0.7,1.0,1.4
17,GWL20-GWL12,QLDNorth,Queensland North,0.7,0.9,1.4
18,GWL20-GWL12,QLDSouth,Queensland South,0.6,1.2,1.7
19,GWL20-GWL12,AUS,Australia,0.7,1.1,1.4
20,GWL30-GWL12,WANorth,Western Australia North,1.5,2.3,2.9
21,GWL30-GWL12,WASouth,Western Australia South,1.7,2.4,3.1
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,1.2,2.3,2.8
23,GWL30-GWL12,VIC,Victoria,1.0,2.1,3.2
24,GWL30-GWL12,SA,South Australia,1.9,2.4,3.0
25,GWL30-GWL12,TAS,Tasmania,1.2,2.0,2.8
26,GWL30-GWL12,NT,Northern Territory,1.5,2.4,2.9
27,GWL30-GWL12,QLDNorth,Queensland North,1.4,2.1,2.6
28,GWL30-GWL12,QLDSouth,Queensland South,1.4,2.3,3.1
29,GWL30-GWL12,AUS,Australia,1.5,2.4,2.8
