,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,3,4,7
1,GWL12,WASouth,Western Australia South,2,3,5
2,GWL12,NSW,New South Wales and Australian Capital Territory,2,3,5
3,GWL12,VIC,Victoria,1,2,4
4,GWL12,SA,South Australia,2,3,5
5,GWL12,TAS,Tasmania,1,2,3
6,GWL12,NT,Northern Territory,3,4,7
7,GWL12,QLDNorth,Queensland North,3,5,8
8,GWL12,QLDSouth,Queensland South,3,4,6
9,GWL12,AUS,Australia,3,4,5
10,GWL15,WANorth,Western Australia North,4,6,10
11,GWL15,WASouth,Western Australia South,3,4,6
12,GWL15,NSW,New South Wales and Australian Capital Territory,3,4,6
13,GWL15,VIC,Victoria,2,3,4
14,GWL15,SA,South Australia,2,4,5
15,GWL15,TAS,Tasmania,1,3,5
16,GWL15,NT,Northern Territory,5,6,10
17,GWL15,QLDNorth,Queensland North,5,7,11
18,GWL15,QLDSouth,Queensland South,4,5,8
19,GWL15,AUS,Australia,4,5,7
20,GWL20,WANorth,Western Australia North,7,11,18
21,GWL20,WASouth,Western Australia South,5,6,10
22,GWL20,NSW,New South Wales and Australian Capital Territory,3,5,8
23,GWL20,VIC,Victoria,3,4,5
24,GWL20,SA,South Australia,4,6,8
25,GWL20,TAS,Tasmania,3,4,5
26,GWL20,NT,Northern Territory,8,11,18
27,GWL20,QLDNorth,Queensland North,7,12,19
28,GWL20,QLDSouth,Queensland South,4,8,12
29,GWL20,AUS,Australia,6,8,12
30,GWL30,WANorth,Western Australia North,13,26,39
31,GWL30,WASouth,Western Australia South,6,11,18
32,GWL30,NSW,New South Wales and Australian Capital Territory,6,9,13
33,GWL30,VIC,Victoria,4,6,10
34,GWL30,SA,South Australia,6,10,14
35,GWL30,TAS,Tasmania,4,6,9
36,GWL30,NT,Northern Territory,14,26,41
37,GWL30,QLDNorth,Queensland North,14,32,46
38,GWL30,QLDSouth,Queensland South,8,15,25
39,GWL30,AUS,Australia,10,17,26
