,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,0,2,4
1,GWL15-GWL12,WASouth,Western Australia South,0,1,2
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,0,1,1
3,GWL15-GWL12,VIC,Victoria,0,0,2
4,GWL15-GWL12,SA,South Australia,0,1,1
5,GWL15-GWL12,TAS,Tasmania,0,1,2
6,GWL15-GWL12,NT,Northern Territory,1,2,4
7,GWL15-GWL12,QLDNorth,Queensland North,2,2,3
8,GWL15-GWL12,QLDSouth,Queensland South,0,2,2
9,GWL15-GWL12,AUS,Australia,1,2,2
10,GWL20-GWL12,WANorth,Western Australia North,3,7,11
11,GWL20-GWL12,WASouth,Western Australia South,2,3,5
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,1,2,4
13,GWL20-GWL12,VIC,Victoria,1,1,3
14,GWL20-GWL12,SA,South Australia,1,3,4
15,GWL20-GWL12,TAS,Tasmania,1,2,3
16,GWL20-GWL12,NT,Northern Territory,4,7,12
17,GWL20-GWL12,QLDNorth,Queensland North,4,7,12
18,GWL20-GWL12,QLDSouth,Queensland South,2,4,7
19,GWL20-GWL12,AUS,Australia,3,5,7
20,GWL30-GWL12,WANorth,Western Australia North,10,22,34
21,GWL30-GWL12,WASouth,Western Australia South,4,8,14
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,3,7,9
23,GWL30-GWL12,VIC,Victoria,1,3,6
24,GWL30-GWL12,SA,South Australia,4,7,9
25,GWL30-GWL12,TAS,Tasmania,2,3,7
26,GWL30-GWL12,NT,Northern Territory,12,23,35
27,GWL30-GWL12,QLDNorth,Queensland North,11,27,38
28,GWL30-GWL12,QLDSouth,Queensland South,5,11,19
29,GWL30-GWL12,AUS,Australia,7,14,21
