,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,95.4,103.4,122.6
1,GWL12,WASouth,Western Australia South,52.5,57.1,61.2
2,GWL12,NSW,New South Wales and Australian Capital Territory,81.3,88.6,97.1
3,GWL12,VIC,Victoria,67.9,73.5,79.2
4,GWL12,SA,South Australia,44.0,50.8,57.7
5,GWL12,TAS,Tasmania,98.1,105.0,110.4
6,GWL12,NT,Northern Territory,117.3,124.2,149.1
7,GWL12,QLDNorth,Queensland North,147.4,171.3,210.6
8,GWL12,QLDSouth,Queensland South,86.5,97.3,114.3
9,GWL12,AUS,Australia,88.0,95.8,106.9
10,GWL15,WANorth,Western Australia North,90.3,102.3,128.0
11,GWL15,WASouth,Western Australia South,52.5,57.6,61.6
12,GWL15,NSW,New South Wales and Australian Capital Territory,81.6,89.9,98.4
13,GWL15,VIC,Victoria,67.3,74.7,83.6
14,GWL15,SA,South Australia,43.9,50.9,56.2
15,GWL15,TAS,Tasmania,102.1,105.4,112.3
16,GWL15,NT,Northern Territory,106.9,128.0,148.7
17,GWL15,QLDNorth,Queensland North,144.9,169.2,213.5
18,GWL15,QLDSouth,Queensland South,82.4,96.4,111.6
19,GWL15,AUS,Australia,83.6,96.0,108.6
20,GWL20,WANorth,Western Australia North,83.3,107.8,132.0
21,GWL20,WASouth,Western Australia South,48.0,57.3,68.1
22,GWL20,NSW,New South Wales and Australian Capital Territory,82.8,88.7,100.7
23,GWL20,VIC,Victoria,67.9,73.9,89.6
24,GWL20,SA,South Australia,43.0,51.9,62.2
25,GWL20,TAS,Tasmania,100.1,107.7,114.9
26,GWL20,NT,Northern Territory,100.8,131.4,158.4
27,GWL20,QLDNorth,Queensland North,133.1,176.6,222.8
28,GWL20,QLDSouth,Queensland South,85.8,99.3,119.5
29,GWL20,AUS,Australia,83.7,98.2,111.9
30,GWL30,WANorth,Western Australia North,87.2,110.6,142.2
31,GWL30,WASouth,Western Australia South,49.2,60.2,70.6
32,GWL30,NSW,New South Wales and Australian Capital Territory,83.4,96.5,105.2
33,GWL30,VIC,Victoria,65.1,74.3,87.0
34,GWL30,SA,South Australia,44.5,52.2,60.5
35,GWL30,TAS,Tasmania,97.8,106.9,119.8
36,GWL30,NT,Northern Territory,108.0,129.5,174.5
37,GWL30,QLDNorth,Queensland North,150.8,186.5,235.9
38,GWL30,QLDSouth,Queensland South,93.6,104.6,128.8
39,GWL30,AUS,Australia,89.5,102.6,120.0
