,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,-13.3,1.1,7.7
1,GWL15-GWL12,WASouth,Western Australia South,-10.0,0.7,7.6
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,-8.9,0.4,12.1
3,GWL15-GWL12,VIC,Victoria,-12.3,3.6,13.8
4,GWL15-GWL12,SA,South Australia,-20.7,0.3,17.0
5,GWL15-GWL12,TAS,Tasmania,-5.9,2.4,7.9
6,GWL15-GWL12,NT,Northern Territory,-10.2,0.6,12.4
7,GWL15-GWL12,QLDNorth,Queensland North,-8.6,-0.2,7.2
8,GWL15-GWL12,QLDSouth,Queensland South,-8.6,-0.4,13.8
9,GWL15-GWL12,AUS,Australia,-4.9,1.1,10.0
10,GWL20-GWL12,WANorth,Western Australia North,-18.7,4.5,15.6
11,GWL20-GWL12,WASouth,Western Australia South,-18.7,5.2,15.1
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,-13.0,2.2,11.5
13,GWL20-GWL12,VIC,Victoria,-7.8,1.1,21.5
14,GWL20-GWL12,SA,South Australia,-19.3,3.2,27.1
15,GWL20-GWL12,TAS,Tasmania,-8.3,3.4,11.5
16,GWL20-GWL12,NT,Northern Territory,-20.1,7.9,25.1
17,GWL20-GWL12,QLDNorth,Queensland North,-19.0,0.7,42.4
18,GWL20-GWL12,QLDSouth,Queensland South,-14.1,1.2,22.1
19,GWL20-GWL12,AUS,Australia,-14.9,5.0,19.1
20,GWL30-GWL12,WANorth,Western Australia North,-14.7,9.6,26.3
21,GWL30-GWL12,WASouth,Western Australia South,-16.5,8.3,20.3
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,-13.0,10.0,22.3
23,GWL30-GWL12,VIC,Victoria,-12.6,10.3,17.6
24,GWL30-GWL12,SA,South Australia,-22.5,5.7,25.1
25,GWL30-GWL12,TAS,Tasmania,-8.9,4.3,16.4
26,GWL30-GWL12,NT,Northern Territory,-17.2,6.8,25.6
27,GWL30-GWL12,QLDNorth,Queensland North,-8.3,9.0,39.5
28,GWL30-GWL12,QLDSouth,Queensland South,-3.0,6.6,32.8
29,GWL30-GWL12,AUS,Australia,-7.9,8.9,23.8
