,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,26.7,27.0,27.5
1,GWL12,WASouth,Western Australia South,20.7,21.1,21.4
2,GWL12,NSW,New South Wales and Australian Capital Territory,18.1,18.3,18.6
3,GWL12,VIC,Victoria,14.6,14.9,15.1
4,GWL12,SA,South Australia,20.1,20.3,20.5
5,GWL12,TAS,Tasmania,10.9,11.1,11.3
6,GWL12,NT,Northern Territory,25.6,26.0,26.3
7,GWL12,QLDNorth,Queensland North,25.6,25.8,26.3
8,GWL12,QLDSouth,Queensland South,22.7,23.0,23.3
9,GWL12,AUS,Australia,22.6,22.8,23.1
10,GWL15,WANorth,Western Australia North,27.0,27.4,28.0
11,GWL15,WASouth,Western Australia South,21.1,21.4,21.7
12,GWL15,NSW,New South Wales and Australian Capital Territory,18.3,18.8,19.2
13,GWL15,VIC,Victoria,14.9,15.2,15.5
14,GWL15,SA,South Australia,20.4,20.7,21.1
15,GWL15,TAS,Tasmania,11.1,11.5,11.7
16,GWL15,NT,Northern Territory,26.0,26.3,26.7
17,GWL15,QLDNorth,Queensland North,25.9,26.2,26.5
18,GWL15,QLDSouth,Queensland South,22.8,23.4,23.9
19,GWL15,AUS,Australia,22.9,23.2,23.6
20,GWL20,WANorth,Western Australia North,27.5,28.1,28.9
21,GWL20,WASouth,Western Australia South,21.5,22.1,22.6
22,GWL20,NSW,New South Wales and Australian Capital Territory,18.7,19.3,19.9
23,GWL20,VIC,Victoria,15.2,15.7,16.2
24,GWL20,SA,South Australia,20.7,21.3,21.8
25,GWL20,TAS,Tasmania,11.6,11.8,12.3
26,GWL20,NT,Northern Territory,26.6,27.0,27.6
27,GWL20,QLDNorth,Queensland North,26.4,26.7,27.2
28,GWL20,QLDSouth,Queensland South,23.4,24.0,24.7
29,GWL20,AUS,Australia,23.4,23.8,24.4
30,GWL30,WANorth,Western Australia North,28.6,29.3,30.1
31,GWL30,WASouth,Western Australia South,22.6,23.2,24.0
32,GWL30,NSW,New South Wales and Australian Capital Territory,19.8,20.4,21.4
33,GWL30,VIC,Victoria,16.0,16.6,17.5
34,GWL30,SA,South Australia,21.9,22.3,23.2
35,GWL30,TAS,Tasmania,12.3,12.5,13.4
36,GWL30,NT,Northern Territory,27.4,28.2,28.8
37,GWL30,QLDNorth,Queensland North,27.3,27.8,28.5
38,GWL30,QLDSouth,Queensland South,24.5,25.2,26.1
39,GWL30,AUS,Australia,24.3,25.0,25.7
