,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,0.1,0.4,0.6
1,GWL15-GWL12,WASouth,Western Australia South,0.2,0.4,0.5
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,0.2,0.4,0.6
3,GWL15-GWL12,VIC,Victoria,0.2,0.4,0.5
4,GWL15-GWL12,SA,South Australia,0.3,0.4,0.6
5,GWL15-GWL12,TAS,Tasmania,0.1,0.3,0.5
6,GWL15-GWL12,NT,Northern Territory,0.2,0.4,0.6
7,GWL15-GWL12,QLDNorth,Queensland North,0.2,0.3,0.6
8,GWL15-GWL12,QLDSouth,Queensland South,0.1,0.4,0.7
9,GWL15-GWL12,AUS,Australia,0.2,0.4,0.5
10,GWL20-GWL12,WANorth,Western Australia North,0.7,1.0,1.4
11,GWL20-GWL12,WASouth,Western Australia South,0.6,1.0,1.3
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,0.6,1.0,1.3
13,GWL20-GWL12,VIC,Victoria,0.6,0.9,1.2
14,GWL20-GWL12,SA,South Australia,0.6,0.9,1.3
15,GWL20-GWL12,TAS,Tasmania,0.5,0.8,1.2
16,GWL20-GWL12,NT,Northern Territory,0.8,1.1,1.4
17,GWL20-GWL12,QLDNorth,Queensland North,0.7,0.8,1.2
18,GWL20-GWL12,QLDSouth,Queensland South,0.7,1.0,1.5
19,GWL20-GWL12,AUS,Australia,0.7,1.0,1.3
20,GWL30-GWL12,WANorth,Western Australia North,1.8,2.3,2.7
21,GWL30-GWL12,WASouth,Western Australia South,1.7,2.1,2.7
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,1.6,2.1,2.8
23,GWL30-GWL12,VIC,Victoria,1.4,1.7,2.6
24,GWL30-GWL12,SA,South Australia,1.7,2.0,2.7
25,GWL30-GWL12,TAS,Tasmania,1.3,1.5,2.3
26,GWL30-GWL12,NT,Northern Territory,1.8,2.2,2.8
27,GWL30-GWL12,QLDNorth,Queensland North,1.7,2.0,2.7
28,GWL30-GWL12,QLDSouth,Queensland South,1.7,2.2,3.1
29,GWL30-GWL12,AUS,Australia,1.7,2.1,2.8
