,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,0,0,0
1,GWL15-GWL12,WASouth,Western Australia South,-2,-1,0
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,-6,-3,2
3,GWL15-GWL12,VIC,Victoria,-6,-3,-2
4,GWL15-GWL12,SA,South Australia,-3,-2,1
5,GWL15-GWL12,TAS,Tasmania,-10,-6,-3
6,GWL15-GWL12,NT,Northern Territory,-1,-1,0
7,GWL15-GWL12,QLDNorth,Queensland North,0,0,0
8,GWL15-GWL12,QLDSouth,Queensland South,-3,-1,0
9,GWL15-GWL12,AUS,Australia,-2,-1,0
10,GWL20-GWL12,WANorth,Western Australia North,0,0,0
11,GWL20-GWL12,WASouth,Western Australia South,-4,-3,-1
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,-8,-6,-4
13,GWL20-GWL12,VIC,Victoria,-10,-7,-3
14,GWL20-GWL12,SA,South Australia,-3,-3,-1
15,GWL20-GWL12,TAS,Tasmania,-18,-12,-7
16,GWL20-GWL12,NT,Northern Territory,-2,-1,-1
17,GWL20-GWL12,QLDNorth,Queensland North,0,0,0
18,GWL20-GWL12,QLDSouth,Queensland South,-4,-3,-1
19,GWL20-GWL12,AUS,Australia,-3,-2,-2
20,GWL30-GWL12,WANorth,Western Australia North,0,0,0
21,GWL30-GWL12,WASouth,Western Australia South,-6,-4,-4
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,-17,-13,-9
23,GWL30-GWL12,VIC,Victoria,-18,-14,-10
24,GWL30-GWL12,SA,South Australia,-6,-5,-3
25,GWL30-GWL12,TAS,Tasmania,-31,-22,-19
26,GWL30-GWL12,NT,Northern Territory,-3,-2,-1
27,GWL30-GWL12,QLDNorth,Queensland North,0,0,0
28,GWL30-GWL12,QLDSouth,Queensland South,-7,-5,-4
29,GWL30-GWL12,AUS,Australia,-6,-4,-4
