,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,-4,12,18
1,GWL15-GWL12,WASouth,Western Australia South,1,7,10
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,0,7,8
3,GWL15-GWL12,VIC,Victoria,0,2,4
4,GWL15-GWL12,SA,South Australia,0,6,9
5,GWL15-GWL12,TAS,Tasmania,0,0,0
6,GWL15-GWL12,NT,Northern Territory,0,14,24
7,GWL15-GWL12,QLDNorth,Queensland North,2,11,17
8,GWL15-GWL12,QLDSouth,Queensland South,-1,8,15
9,GWL15-GWL12,AUS,Australia,1,9,14
10,GWL20-GWL12,WANorth,Western Australia North,12,26,35
11,GWL20-GWL12,WASouth,Western Australia South,7,15,22
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,3,11,20
13,GWL20-GWL12,VIC,Victoria,1,5,8
14,GWL20-GWL12,SA,South Australia,8,14,19
15,GWL20-GWL12,TAS,Tasmania,0,0,0
16,GWL20-GWL12,NT,Northern Territory,20,30,42
17,GWL20-GWL12,QLDNorth,Queensland North,16,25,38
18,GWL20-GWL12,QLDSouth,Queensland South,9,18,37
19,GWL20-GWL12,AUS,Australia,12,20,29
20,GWL30-GWL12,WANorth,Western Australia North,38,51,58
21,GWL30-GWL12,WASouth,Western Australia South,22,33,39
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,15,24,36
23,GWL30-GWL12,VIC,Victoria,6,12,18
24,GWL30-GWL12,SA,South Australia,19,29,38
25,GWL30-GWL12,TAS,Tasmania,0,0,1
26,GWL30-GWL12,NT,Northern Territory,45,57,66
27,GWL30-GWL12,QLDNorth,Queensland North,49,56,70
28,GWL30-GWL12,QLDSouth,Queensland South,27,40,52
29,GWL30-GWL12,AUS,Australia,30,42,49
