,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,2,3,4
1,GWL12,WASouth,Western Australia South,1,2,3
2,GWL12,NSW,New South Wales and Australian Capital Territory,0,1,1
3,GWL12,VIC,Victoria,0,0,0
4,GWL12,SA,South Australia,2,2,4
5,GWL12,TAS,Tasmania,0,0,0
6,GWL12,NT,Northern Territory,1,1,1
7,GWL12,QLDNorth,Queensland North,0,0,0
8,GWL12,QLDSouth,Queensland South,1,1,2
9,GWL12,AUS,Australia,1,1,2
10,GWL15,WANorth,Western Australia North,3,5,7
11,GWL15,WASouth,Western Australia South,2,3,4
12,GWL15,NSW,New South Wales and Australian Capital Territory,0,1,1
13,GWL15,VIC,Victoria,0,0,0
14,GWL15,SA,South Australia,2,3,5
15,GWL15,TAS,Tasmania,0,0,0
16,GWL15,NT,Northern Territory,1,1,2
17,GWL15,QLDNorth,Queensland North,0,0,0
18,GWL15,QLDSouth,Queensland South,1,2,3
19,GWL15,AUS,Australia,1,2,3
20,GWL20,WANorth,Western Australia North,5,6,13
21,GWL20,WASouth,Western Australia South,3,5,6
22,GWL20,NSW,New South Wales and Australian Capital Territory,1,1,2
23,GWL20,VIC,Victoria,0,0,0
24,GWL20,SA,South Australia,4,5,6
25,GWL20,TAS,Tasmania,0,0,0
26,GWL20,NT,Northern Territory,2,2,5
27,GWL20,QLDNorth,Queensland North,0,0,1
28,GWL20,QLDSouth,Queensland South,2,3,6
29,GWL20,AUS,Australia,3,3,6
30,GWL30,WANorth,Western Australia North,10,15,30
31,GWL30,WASouth,Western Australia South,6,9,17
32,GWL30,NSW,New South Wales and Australian Capital Territory,2,3,5
33,GWL30,VIC,Victoria,0,1,1
34,GWL30,SA,South Australia,7,10,14
35,GWL30,TAS,Tasmania,0,0,0
36,GWL30,NT,Northern Territory,4,7,14
37,GWL30,QLDNorth,Queensland North,1,1,3
38,GWL30,QLDSouth,Queensland South,5,7,14
39,GWL30,AUS,Australia,5,8,13
