,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,33.9,34.2,34.8
1,GWL12,WASouth,Western Australia South,27.8,28.2,28.6
2,GWL12,NSW,New South Wales and Australian Capital Territory,24.4,25.1,25.4
3,GWL12,VIC,Victoria,20.4,20.9,21.2
4,GWL12,SA,South Australia,26.9,27.4,27.7
5,GWL12,TAS,Tasmania,15.4,15.6,15.8
6,GWL12,NT,Northern Territory,32.8,33.2,33.5
7,GWL12,QLDNorth,Queensland North,31.9,32.2,32.6
8,GWL12,QLDSouth,Queensland South,29.7,30.2,30.5
9,GWL12,AUS,Australia,29.5,29.8,30.1
10,GWL15,WANorth,Western Australia North,34.1,34.7,35.4
11,GWL15,WASouth,Western Australia South,28.2,28.7,29.2
12,GWL15,NSW,New South Wales and Australian Capital Territory,24.6,25.6,26.2
13,GWL15,VIC,Victoria,20.6,21.3,21.7
14,GWL15,SA,South Australia,27.1,27.8,28.3
15,GWL15,TAS,Tasmania,15.6,16.0,16.2
16,GWL15,NT,Northern Territory,33.2,33.6,34.1
17,GWL15,QLDNorth,Queensland North,32.3,32.6,33.0
18,GWL15,QLDSouth,Queensland South,29.8,30.7,31.3
19,GWL15,AUS,Australia,29.7,30.2,30.7
20,GWL20,WANorth,Western Australia North,34.7,35.2,36.5
21,GWL20,WASouth,Western Australia South,28.5,29.2,30.0
22,GWL20,NSW,New South Wales and Australian Capital Territory,24.8,26.0,26.9
23,GWL20,VIC,Victoria,20.8,21.9,22.5
24,GWL20,SA,South Australia,27.4,28.3,29.0
25,GWL20,TAS,Tasmania,16.1,16.4,16.9
26,GWL20,NT,Northern Territory,33.7,34.2,35.1
27,GWL20,QLDNorth,Queensland North,32.7,33.0,33.7
28,GWL20,QLDSouth,Queensland South,30.3,31.1,32.3
29,GWL20,AUS,Australia,30.1,30.7,31.7
30,GWL30,WANorth,Western Australia North,35.8,36.6,37.7
31,GWL30,WASouth,Western Australia South,29.7,30.6,31.3
32,GWL30,NSW,New South Wales and Australian Capital Territory,26.2,27.3,28.3
33,GWL30,VIC,Victoria,22.0,22.9,23.9
34,GWL30,SA,South Australia,28.7,29.6,30.4
35,GWL30,TAS,Tasmania,16.7,17.2,18.0
36,GWL30,NT,Northern Territory,34.7,35.4,36.2
37,GWL30,QLDNorth,Queensland North,33.7,34.1,34.8
38,GWL30,QLDSouth,Queensland South,31.7,32.4,33.2
39,GWL30,AUS,Australia,31.3,32.0,32.7
