,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,44.3,45.1,45.5
1,GWL12,WASouth,Western Australia South,44.4,45.0,45.4
2,GWL12,NSW,New South Wales and Australian Capital Territory,41.4,42.3,42.7
3,GWL12,VIC,Victoria,39.3,40.6,41.0
4,GWL12,SA,South Australia,44.7,45.4,45.9
5,GWL12,TAS,Tasmania,30.6,31.4,31.8
6,GWL12,NT,Northern Territory,43.2,43.6,44.0
7,GWL12,QLDNorth,Queensland North,40.5,41.1,41.4
8,GWL12,QLDSouth,Queensland South,42.8,43.6,43.9
9,GWL12,AUS,Australia,43.1,43.7,44.0
10,GWL15,WANorth,Western Australia North,45.0,45.3,46.2
11,GWL15,WASouth,Western Australia South,44.7,45.4,46.0
12,GWL15,NSW,New South Wales and Australian Capital Territory,41.1,42.7,43.5
13,GWL15,VIC,Victoria,39.2,41.0,41.9
14,GWL15,SA,South Australia,45.4,45.7,46.5
15,GWL15,TAS,Tasmania,30.1,31.8,32.7
16,GWL15,NT,Northern Territory,43.6,44.0,44.6
17,GWL15,QLDNorth,Queensland North,40.7,41.4,41.8
18,GWL15,QLDSouth,Queensland South,42.9,44.0,44.6
19,GWL15,AUS,Australia,43.6,44.0,44.6
20,GWL20,WANorth,Western Australia North,45.8,46.1,46.8
21,GWL20,WASouth,Western Australia South,45.4,46.1,46.4
22,GWL20,NSW,New South Wales and Australian Capital Territory,41.6,43.0,43.8
23,GWL20,VIC,Victoria,39.9,41.7,42.2
24,GWL20,SA,South Australia,45.8,46.5,46.9
25,GWL20,TAS,Tasmania,31.3,32.4,33.2
26,GWL20,NT,Northern Territory,44.2,44.4,45.3
27,GWL20,QLDNorth,Queensland North,41.4,41.8,42.7
28,GWL20,QLDSouth,Queensland South,43.8,44.4,45.5
29,GWL20,AUS,Australia,44.2,44.6,45.3
30,GWL30,WANorth,Western Australia North,46.5,47.3,48.2
31,GWL30,WASouth,Western Australia South,46.2,47.4,48.2
32,GWL30,NSW,New South Wales and Australian Capital Territory,43.2,44.5,45.5
33,GWL30,VIC,Victoria,41.1,42.8,43.8
34,GWL30,SA,South Australia,46.7,47.8,48.6
35,GWL30,TAS,Tasmania,32.0,33.2,34.4
36,GWL30,NT,Northern Territory,44.9,45.7,46.8
37,GWL30,QLDNorth,Queensland North,42.2,42.7,43.9
38,GWL30,QLDSouth,Queensland South,44.7,45.6,47.1
39,GWL30,AUS,Australia,44.9,45.8,46.9
