,gwl,abbrevs,names,min,median,max
0,GWL15,WANorth,Western Australia North,0.1,0.4,0.7
1,GWL15,WASouth,Western Australia South,0.2,0.4,0.8
2,GWL15,NSW,New South Wales and Australian Capital Territory,-0.5,0.5,1.0
3,GWL15,VIC,Victoria,-0.1,0.5,0.9
4,GWL15,SA,South Australia,0.1,0.5,0.8
5,GWL15,TAS,Tasmania,-0.4,0.5,1.2
6,GWL15,NT,Northern Territory,0.0,0.4,0.7
7,GWL15,QLDNorth,Queensland North,0.1,0.4,0.6
8,GWL15,QLDSouth,Queensland South,0.0,0.5,0.9
9,GWL15,AUS,Australia,0.1,0.5,0.7
10,GWL20,WANorth,Western Australia North,0.8,1.1,1.6
11,GWL20,WASouth,Western Australia South,0.8,1.1,1.5
12,GWL20,NSW,New South Wales and Australian Capital Territory,0.1,1.0,1.2
13,GWL20,VIC,Victoria,0.6,1.1,1.7
14,GWL20,SA,South Australia,0.8,1.1,1.4
15,GWL20,TAS,Tasmania,0.3,0.9,2.1
16,GWL20,NT,Northern Territory,0.6,1.0,1.5
17,GWL20,QLDNorth,Queensland North,0.5,0.9,1.5
18,GWL20,QLDSouth,Queensland South,0.5,1.1,1.6
19,GWL20,AUS,Australia,0.7,1.1,1.3
20,GWL30,WANorth,Western Australia North,1.6,2.4,2.9
21,GWL30,WASouth,Western Australia South,1.8,2.5,3.0
22,GWL30,NSW,New South Wales and Australian Capital Territory,1.3,2.3,2.9
23,GWL30,VIC,Victoria,0.8,2.0,2.9
24,GWL30,SA,South Australia,1.9,2.4,2.9
25,GWL30,TAS,Tasmania,1.2,1.9,2.9
26,GWL30,NT,Northern Territory,1.6,2.3,3.0
27,GWL30,QLDNorth,Queensland North,1.4,2.0,2.7
28,GWL30,QLDSouth,Queensland South,1.6,2.1,3.3
29,GWL30,AUS,Australia,1.6,2.3,2.9
