,gwl,abbrevs,names,min,median,max
0,GWL15-GWL12,WANorth,Western Australia North,,,
1,GWL15-GWL12,WASouth,Western Australia South,-13.9,-3.3,27.2
2,GWL15-GWL12,NSW,New South Wales and Australian Capital Territory,-18.3,-2.7,14.7
3,GWL15-GWL12,VIC,Victoria,-11.4,-0.1,10.0
4,GWL15-GWL12,SA,South Australia,-27.2,-9.5,7.7
5,GWL15-GWL12,TAS,Tasmania,-16.3,-1.4,8.8
6,GWL15-GWL12,NT,Northern Territory,,,
7,GWL15-GWL12,QLDNorth,Queensland North,,,
8,GWL15-GWL12,QLDSouth,Queensland South,-28.0,-6.2,15.4
9,GWL15-GWL12,AUS,Australia,-16.0,-3.1,5.9
10,GWL20-GWL12,WANorth,Western Australia North,,,
11,GWL20-GWL12,WASouth,Western Australia South,-32.4,-6.8,22.9
12,GWL20-GWL12,NSW,New South Wales and Australian Capital Territory,-24.1,-6.7,5.4
13,GWL20-GWL12,VIC,Victoria,-26.5,-15.0,8.5
14,GWL20-GWL12,SA,South Australia,-39.3,-10.8,26.3
15,GWL20-GWL12,TAS,Tasmania,-20.9,-10.0,16.4
16,GWL20-GWL12,NT,Northern Territory,,,
17,GWL20-GWL12,QLDNorth,Queensland North,,,
18,GWL20-GWL12,QLDSouth,Queensland South,-24.6,-8.2,19.1
19,GWL20-GWL12,AUS,Australia,-30.7,-9.4,14.4
20,GWL30-GWL12,WANorth,Western Australia North,,,
21,GWL30-GWL12,WASouth,Western Australia South,-29.7,-6.2,27.4
22,GWL30-GWL12,NSW,New South Wales and Australian Capital Territory,-33.9,-15.8,-1.7
23,GWL30-GWL12,VIC,Victoria,-42.9,-13.3,-2.3
24,GWL30-GWL12,SA,South Australia,-38.7,-12.5,11.6
25,GWL30-GWL12,TAS,Tasmania,-38.0,-15.2,-3.6
26,GWL30-GWL12,NT,Northern Territory,,,
27,GWL30-GWL12,QLDNorth,Queensland North,,,
28,GWL30-GWL12,QLDSouth,Queensland South,-55.1,-2.8,23.1
29,GWL30-GWL12,AUS,Australia,-32.8,-10.0,-1.3
