,gwl,abbrevs,names,min,median,max
0,1.2,WANorth,Western Australia North,1.6,2.9,4.9
1,1.2,WASouth,Western Australia South,0.2,0.3,0.5
2,1.2,NSW,New South Wales and Australian Capital Territory,1.4,1.9,2.6
3,1.2,VIC,Victoria,1.8,2.2,3.2
4,1.2,SA,South Australia,0.1,0.2,0.3
5,1.2,TAS,Tasmania,8.1,10.6,11.4
6,1.2,NT,Northern Territory,2.0,4.4,8.1
7,1.2,QLDNorth,Queensland North,5.6,9.3,15.0
8,1.2,QLDSouth,Queensland South,0.6,0.8,1.7
9,1.2,AUS,Australia,1.6,2.6,4.3
10,1.5,WANorth,Western Australia North,1.3,2.9,5.4
11,1.5,WASouth,Western Australia South,0.1,0.3,0.5
12,1.5,NSW,New South Wales and Australian Capital Territory,1.7,1.9,3.2
13,1.5,VIC,Victoria,1.4,2.1,2.9
14,1.5,SA,South Australia,0.1,0.2,0.3
15,1.5,TAS,Tasmania,8.0,10.2,12.3
16,1.5,NT,Northern Territory,1.6,4.3,7.8
17,1.5,QLDNorth,Queensland North,4.4,11.4,19.2
18,1.5,QLDSouth,Queensland South,0.6,0.9,1.6
19,1.5,AUS,Australia,1.3,2.9,4.6
20,2,WANorth,Western Australia North,0.8,3.4,6.5
21,2,WASouth,Western Australia South,0.1,0.3,0.4
22,2,NSW,New South Wales and Australian Capital Territory,1.3,2.1,3.0
23,2,VIC,Victoria,1.3,2.0,2.6
24,2,SA,South Australia,0.1,0.2,0.4
25,2,TAS,Tasmania,8.4,10.0,11.5
26,2,NT,Northern Territory,1.9,5.7,10.0
27,2,QLDNorth,Queensland North,4.0,10.0,16.1
28,2,QLDSouth,Queensland South,0.4,1.0,1.4
29,2,AUS,Australia,1.3,2.9,4.9
30,3,WANorth,Western Australia North,0.6,2.8,8.1
31,3,WASouth,Western Australia South,0.1,0.2,0.4
32,3,NSW,New South Wales and Australian Capital Territory,1.1,2.1,2.9
33,3,VIC,Victoria,1.0,2.1,3.0
34,3,SA,South Australia,0.1,0.2,0.5
35,3,TAS,Tasmania,8.3,10.2,13.2
36,3,NT,Northern Territory,1.0,5.1,8.4
37,3,QLDNorth,Queensland North,4.0,10.6,18.7
38,3,QLDSouth,Queensland South,0.6,0.9,2.3
39,3,AUS,Australia,1.1,3.0,4.8
