,gwl,abbrevs,names,min,median,max
0,GWL1.2,WANorth,Western Australia North,43.7,66.1,84.1
1,GWL1.2,WASouth,Western Australia South,30.3,38.8,46.9
2,GWL1.2,NSW,New South Wales and Australian Capital Territory,60.9,78.1,96.9
3,GWL1.2,VIC,Victoria,91.3,108.6,126.5
4,GWL1.2,SA,South Australia,20.0,26.4,33.3
5,GWL1.2,TAS,Tasmania,222.5,243.3,257.8
6,GWL1.2,NT,Northern Territory,57.4,80.4,101.3
7,GWL1.2,QLDNorth,Queensland North,90.5,113.3,143.2
8,GWL1.2,QLDSouth,Queensland South,42.0,52.8,64.6
9,GWL1.2,AUS,Australia,52.0,66.9,78.6
10,GWL1.5,WANorth,Western Australia North,38.4,65.8,90.7
11,GWL1.5,WASouth,Western Australia South,28.4,40.0,49.1
12,GWL1.5,NSW,New South Wales and Australian Capital Territory,59.9,72.2,105.5
13,GWL1.5,VIC,Victoria,93.2,103.1,136.1
14,GWL1.5,SA,South Australia,20.3,25.2,37.5
15,GWL1.5,TAS,Tasmania,226.3,241.0,269.8
16,GWL1.5,NT,Northern Territory,52.3,83.0,107.4
17,GWL1.5,QLDNorth,Queensland North,88.3,114.1,135.9
18,GWL1.5,QLDSouth,Queensland South,41.0,50.5,66.4
19,GWL1.5,AUS,Australia,49.8,66.1,80.9
20,GWL2.0,WANorth,Western Australia North,39.6,67.8,90.1
21,GWL2.0,WASouth,Western Australia South,23.5,36.8,46.7
22,GWL2.0,NSW,New South Wales and Australian Capital Territory,57.8,73.3,112.7
23,GWL2.0,VIC,Victoria,88.1,97.0,151.1
24,GWL2.0,SA,South Australia,17.4,24.1,40.8
25,GWL2.0,TAS,Tasmania,212.5,234.7,274.5
26,GWL2.0,NT,Northern Territory,55.5,80.4,108.4
27,GWL2.0,QLDNorth,Queensland North,82.9,109.7,127.1
28,GWL2.0,QLDSouth,Queensland South,37.3,53.0,64.4
29,GWL2.0,AUS,Australia,49.8,63.8,82.9
30,GWL3.0,WANorth,Western Australia North,31.9,68.3,94.0
31,GWL3.0,WASouth,Western Australia South,21.1,34.3,46.6
32,GWL3.0,NSW,New South Wales and Australian Capital Territory,55.8,75.3,109.8
33,GWL3.0,VIC,Victoria,77.7,95.3,133.3
34,GWL3.0,SA,South Australia,14.5,24.0,36.5
35,GWL3.0,TAS,Tasmania,202.9,227.1,268.9
36,GWL3.0,NT,Northern Territory,46.5,81.5,114.6
37,GWL3.0,QLDNorth,Queensland North,82.8,113.6,138.0
38,GWL3.0,QLDSouth,Queensland South,33.8,54.6,65.8
39,GWL3.0,AUS,Australia,48.6,67.1,81.9
