,gwl,abbrevs,names,min,median,max
0,GWL1.5-GWL1.2,WANorth,Western Australia North,-43.1,5.6,43.1
1,GWL1.5-GWL1.2,WASouth,Western Australia South,-43.2,1.0,47.6
2,GWL1.5-GWL1.2,NSW,New South Wales and Australian Capital Territory,-31.7,-2.5,39.7
3,GWL1.5-GWL1.2,VIC,Victoria,-22.2,-4.4,28.3
4,GWL1.5-GWL1.2,SA,South Australia,-39.3,-4.1,71.8
5,GWL1.5-GWL1.2,TAS,Tasmania,-10.1,-2.2,20.7
6,GWL1.5-GWL1.2,NT,Northern Territory,-40.8,-2.3,61.9
7,GWL1.5-GWL1.2,QLDNorth,Queensland North,-27.2,-4.0,29.2
8,GWL1.5-GWL1.2,QLDSouth,Queensland South,-38.4,0.4,40.0
9,GWL1.5-GWL1.2,AUS,Australia,-29.6,-2.2,40.4
10,GWL2.0-GWL1.2,WANorth,Western Australia North,-44.0,1.3,62.4
11,GWL2.0-GWL1.2,WASouth,Western Australia South,-34.4,-2.9,62.7
12,GWL2.0-GWL1.2,NSW,New South Wales and Australian Capital Territory,-31.1,-9.1,49.2
13,GWL2.0-GWL1.2,VIC,Victoria,-22.8,-9.3,43.9
14,GWL2.0-GWL1.2,SA,South Australia,-41.3,-10.2,90.1
15,GWL2.0-GWL1.2,TAS,Tasmania,-18.6,-1.1,12.4
16,GWL2.0-GWL1.2,NT,Northern Territory,-39.0,1.0,52.9
17,GWL2.0-GWL1.2,QLDNorth,Queensland North,-31.3,-3.5,42.2
18,GWL2.0-GWL1.2,QLDSouth,Queensland South,-37.7,-0.6,51.2
19,GWL2.0-GWL1.2,AUS,Australia,-32.6,-0.5,39.0
20,GWL3.0-GWL1.2,WANorth,Western Australia North,-67.6,4.5,63.1
21,GWL3.0-GWL1.2,WASouth,Western Australia South,-48.8,-3.2,38.4
22,GWL3.0-GWL1.2,NSW,New South Wales and Australian Capital Territory,-30.3,2.5,47.0
23,GWL3.0-GWL1.2,VIC,Victoria,-32.0,-16.0,29.1
24,GWL3.0-GWL1.2,SA,South Australia,-51.8,-3.4,50.3
25,GWL3.0-GWL1.2,TAS,Tasmania,-19.2,-10.6,13.8
26,GWL3.0-GWL1.2,NT,Northern Territory,-62.8,11.5,69.3
27,GWL3.0-GWL1.2,QLDNorth,Queensland North,-32.9,5.5,26.2
28,GWL3.0-GWL1.2,QLDSouth,Queensland South,-33.8,2.3,41.0
29,GWL3.0-GWL1.2,AUS,Australia,-44.8,5.7,39.0
