,gwl,abbrevs,names,min,median,max
0,1.2,WANorth,Western Australia North,102.2,156.9,203.1
1,1.2,WASouth,Western Australia South,13.7,24.0,36.9
2,1.2,NSW,New South Wales and Australian Capital Territory,63.6,84.8,106.2
3,1.2,VIC,Victoria,100.3,126.3,155.6
4,1.2,SA,South Australia,5.9,10.6,17.0
5,1.2,TAS,Tasmania,544.2,674.1,790.2
6,1.2,NT,Northern Territory,114.1,201.4,267.1
7,1.2,QLDNorth,Queensland North,243.6,336.8,449.0
8,1.2,QLDSouth,Queensland South,31.0,56.9,118.2
9,1.2,AUS,Australia,97.3,125.3,155.8
10,1.5,WANorth,Western Australia North,101.7,141.5,246.6
11,1.5,WASouth,Western Australia South,8.5,19.4,41.9
12,1.5,NSW,New South Wales and Australian Capital Territory,65.6,85.6,102.0
13,1.5,VIC,Victoria,99.6,130.3,152.5
14,1.5,SA,South Australia,5.4,10.2,16.4
15,1.5,TAS,Tasmania,610.2,707.6,777.0
16,1.5,NT,Northern Territory,94.0,192.5,300.0
17,1.5,QLDNorth,Queensland North,184.9,343.0,626.4
18,1.5,QLDSouth,Queensland South,28.3,53.3,110.6
19,1.5,AUS,Australia,84.2,128.9,189.3
20,2,WANorth,Western Australia North,66.6,153.4,276.2
21,2,WASouth,Western Australia South,6.1,15.3,34.1
22,2,NSW,New South Wales and Australian Capital Territory,53.7,87.4,107.8
23,2,VIC,Victoria,82.9,116.1,150.6
24,2,SA,South Australia,3.4,11.6,17.2
25,2,TAS,Tasmania,538.1,706.1,773.8
26,2,NT,Northern Territory,93.1,198.5,311.0
27,2,QLDNorth,Queensland North,161.7,335.6,501.2
28,2,QLDSouth,Queensland South,22.5,49.5,72.2
29,2,AUS,Australia,65.1,117.2,174.1
30,3,WANorth,Western Australia North,68.9,146.3,282.2
31,3,WASouth,Western Australia South,5.0,13.8,35.3
32,3,NSW,New South Wales and Australian Capital Territory,41.5,82.1,116.1
33,3,VIC,Victoria,59.8,120.7,160.5
34,3,SA,South Australia,3.8,12.4,27.5
35,3,TAS,Tasmania,504.9,634.9,818.6
36,3,NT,Northern Territory,70.5,182.1,258.8
37,3,QLDNorth,Queensland North,171.2,380.5,625.3
38,3,QLDSouth,Queensland South,29.2,51.4,95.8
39,3,AUS,Australia,70.6,127.2,176.8
